ID,buy_resource,base_cost,cost_scaling,boost_resource,addition,mult_per10,cap,description
192,"prestige",1e9,1.2,"charge",1,2,100,"充能获取+100%，每10级使充能获取数量×2"
193,"crystal",1e6,1.2,"charge",1,2,100,"充能获取+100%，每10级使充能获取数量×2"
194,"steel",1e3,1.2,"",0.001,1,99,"每秒自动生成的水晶+0.1%"
1A1,"grass",1000,10,"",1,1,5,"每5秒自动割1次草（获得点击一次割草能获得的草、经验、二重经验数量），之后每级使时间间隔-1，买这个升级将解锁离线收益"
1A2,"grass",1e8,1,"",1,1,1,"自动购买草升级"
1A3,"prestige",100,3,"",1,1,9,"自动割草获得的资源数量+100%"
1A4,"prestige",1e3,1,"",1,1,1,"声望不再重置级点和级点升级"
1A5,"prestige",1e4,1,"",1,1,1,"每秒自动生成重置时能获得声望点的+1%"
1A6,"prestige",1e6,1,"",1,1,1,"自动购买声望升级"
1A7,"crystal",100,3,"",1,1,9,"自动割草的时间间隔-0.1秒"
1A8,"crystal",1e3,1,"",1,1,1,"结晶不再重置级点和级点升级"
1A9,"crystal",1e4,1,"",1,1,1,"每秒自动生成重置时能获得水晶的+1%"
1AA,"crystal",1e6,1,"",1,1,1,"自动购买水晶升级"
1AB,"steel",1e9,1,"",1,1,1,"购买草升级不再消耗草"
1AC,"steel",1e10,1,"",1,1,1,"购买声望升级不再消耗声望点"
1AD,"steel",1e11,1,"",1,1,1,"购买水晶升级不再消耗水晶"
1AE,"steel",1e12,1,"",1,1,1,"草蹦不再重置级点和级点升级"
